#;bloc;variety;culture;Echantillon;Modality;H_tige_AV;D_collet_AV;Nb_feuilles_AV;poids_frais;poids_sec;Larves;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);Total
1;1;1;mono;A;mono 1 A;11.14;13.66666667;7.333333333;59;15.6;4;240108_LM_GLS_colza_sample_1;23.58346095;356.5084227;203.0627871;26.64624809;242.5727412;0.918836141;319.754977;729.5558959;37.05972435;60.6431853;608.8820827;10.10719755;2619.295559
2;1;1;mono;B;mono 1 B;14.39666667;13.66666667;7.666666667;88.4;23.2;1;240108_LM_GLS_colza_sample_2;0;8.4;4.4;0;6;0;8.4;12;0;0;12;0;51.2
3;1;1;mono;C;mono 1 C;15.01333333;13.52666667;5.666666667;76.8;23.6;1;240108_LM_GLS_colza_sample_3;31.07142857;293.9285714;235.7142857;17.14285714;274.6428571;1.428571429;258.5714286;572.8571429;43.92857143;60.71428571;473.5714286;5.357142857;2268.928571
4;1;2;mono;A;mono 2 A;15.8;6;8.333333333;51.3;11.4;1;240108_LM_GLS_colza_sample_4;111.6541353;684.962406;651.1278195;29.32330827;611.2781955;6.766917293;344.7368421;840.9774436;74.06015038;81.20300752;326.6917293;14.66165414;3777.443609
5;1;2;mono;B;mono 2 B;14.16;8.166666667;9;76.1;14.7;7;240108_LM_GLS_colza_sample_5;126.6447368;534.2105263;576.6447368;22.03947368;397.6973684;5.592105263;222.3684211;1181.907895;63.81578947;106.25;796.7105263;8.881578947;4042.763158
6;1;2;mono;C;mono 2 C;14.86333333;9;10;86.6;16.3;2;240108_LM_GLS_colza_sample_6;67.80952381;444.5714286;531.4285714;19.42857143;510.0952381;7.238095238;262.0952381;418.6666667;82.66666667;62.47619048;93.71428571;24.38095238;2524.571429
7;1;3;mono;A;mono 3 A;21.88333333;13;11.33333333;253.8;50.6;5;240108_LM_GLS_colza_sample_7;53.79746835;487.0253165;431.9620253;21.83544304;547.7848101;1.898734177;281.9620253;389.556962;68.35443038;51.26582278;564.2405063;12.97468354;2912.658228
8;1;3;mono;B;mono 3 B;13.12666667;13;8.333333333;112.8;24.9;2;240108_LM_GLS_colza_sample_8;21.76870748;241.1564626;122.7891156;23.46938776;145.5782313;11.2244898;154.4217687;643.537415;35.03401361;51.02040816;480.6122449;5.102040816;1935.714286
9;1;3;mono;C;mono 3 C;20.73666667;13.5;11.66666667;197.5;41.1;1;240108_LM_GLS_colza_sample_9;43.40770791;343.2048682;265.7200811;19.47261663;352.535497;0;160.6490872;321.703854;57.60649087;66.53144016;1570.791075;8.92494929;3210.547667
10;1;1;asso;A;asso 1 A;10.06333333;16.83333333;7.666666667;89.5;16.1;2;240108_LM_GLS_colza_sample_10;7.638888889;334.0277778;154.1666667;31.94444444;194.0972222;4.861111111;366.3194444;496.5277778;28.47222222;50.69444444;239.5833333;9.375;1917.708333
11;1;1;asso;B;asso 1 B;21.31666667;25.83333333;11.33333333;554.6;101.4;2;240108_LM_GLS_colza_sample_11;28.61896839;204.6589018;196.672213;13.64392679;198.0033278;2.995008319;213.3111481;629.2845258;55.24126456;44.59234609;322.1297837;7.65391015;1916.805324
12;1;1;asso;C;asso 1 C;13.49;20.83333333;9.666666667;254;45.4;3;240108_LM_GLS_colza_sample_12;31.1827957;258.0645161;264.516129;18.63799283;241.5770609;3.584229391;222.2222222;586.0215054;49.10394265;41.57706093;265.2329749;7.885304659;1989.605735
13;1;2;asso;A;asso 2 A;12.94333333;7.666666667;6.333333333;143;21.4;17;240108_LM_GLS_colza_sample_13;87.42004264;365.4584222;412.793177;23.45415778;345.8422175;6.823027719;221.3219616;1402.985075;69.93603412;91.68443497;514.2857143;13.64605544;3555.65032
14;1;2;asso;B;asso 2 B;11.04;10.33333333;7.333333333;67.1;11.6;14;240108_LM_GLS_colza_sample_14;47.43083004;507.9051383;415.0197628;17.78656126;406.7193676;3.162055336;257.7075099;387.3517787;58.89328063;43.08300395;132.8063241;13.43873518;2291.304348
15;1;2;asso;C;asso 2 C;13.73333333;9.833333333;8.666666667;72.2;13.4;8;240108_LM_GLS_colza_sample_15;53.19148936;313.1914894;305.5319149;16.17021277;265.106383;8.085106383;188.9361702;547.6595745;44.68085106;53.61702128;231.4893617;17.0212766;2044.680851
16;1;3;asso;A;asso 3 A;12.76;8.5;9;63.8;11.3;1;240108_LM_GLS_colza_sample_16;24.4488978;436.8737475;321.8436874;34.86973948;476.1523046;2.805611222;377.1543086;305.01002;71.34268537;38.47695391;359.1182365;12.4248497;2460.521042
17;1;3;asso;B;asso 3 B;11.35666667;9.5;7.666666667;67.3;15;8;240108_LM_GLS_colza_sample_17;36.04240283;625.0883392;312.3674912;36.74911661;403.5335689;3.533568905;275.2650177;493.639576;54.77031802;47.70318021;965.3710247;6.360424028;3260.424028
18;1;3;asso;C;asso 3 C;13.54;6.666666667;7.333333333;54.5;8.9;1;240108_LM_GLS_colza_sample_18;0;8.130081301;5.149051491;0;6.775067751;0;6.233062331;8.130081301;0.27100271;0;14.63414634;0;49.32249322
19;2;2;mono;A;mono 2 A;14.41666667;4.333333333;5.666666667;44.8;12.9;6;240108_LM_GLS_colza_sample_19;134.5070423;556.3380282;577.8169014;32.74647887;464.4366197;3.521126761;288.7323944;733.4507042;63.02816901;51.76056338;394.7183099;12.32394366;3313.380282
20;2;2;mono;B;mono 2 B;14.64666667;6.166666667;6.666666667;44;10.7;6;240108_LM_GLS_colza_sample_20;92.07920792;784.8184818;579.2079208;33.99339934;599.009901;8.910891089;470.2970297;566.3366337;68.64686469;39.9339934;475.2475248;11.22112211;3729.70297
21;2;2;mono;C;mono 2 C;11.6;6.166666667;8.666666667;41.4;8.4;4;240108_LM_GLS_colza_sample_21;97.09401709;856.0683761;652.3076923;28.03418803;713.8461538;4.444444444;325.4700855;487.8632479;73.5042735;40.68376068;203.4188034;10.25641026;3492.991453
22;2;1;mono;A;mono 1 A;10.12;14.16666667;8;75.4;15.3;1;240108_LM_GLS_colza_sample_22;18.38006231;185.3582555;161.682243;10.90342679;196.5732087;1.557632399;165.4205607;638.6292835;31.77570093;40.18691589;400.9345794;8.411214953;1859.813084
23;2;1;mono;B;mono 1 B;14.9;14;9.666666667;101.4;23.8;0;240108_LM_GLS_colza_sample_23;30.21868787;326.4413519;238.5685885;27.03777336;289.4632207;8.349900596;333.5984095;553.0815109;37.77335984;37.37574553;382.9025845;8.747514911;2273.558648
24;2;1;mono;C;mono 1 C;20.27333333;15.33333333;9.666666667;187.7;48.7;2;240108_LM_GLS_colza_sample_24;54.08805031;357.6519916;404.6121593;23.06079665;390.3563941;3.354297694;318.2389937;604.1928721;54.08805031;40.25157233;546.3312369;13.83647799;2810.062893
25;2;3;mono;A;mono 3 A;19.43333333;17.5;11.66666667;326.9;11.5;9;240108_LM_GLS_colza_sample_25;41.03512015;217.3752311;207.7634011;16.63585952;158.5951941;1.848428835;96.85767098;481.7005545;37.33826248;48.05914972;658.0406654;8.133086876;1973.382625
26;2;3;mono;B;mono 3 B;20.76;16.33333333;11;382.6;67.1;13;240108_LM_GLS_colza_sample_26;33.49436393;216.4251208;277.294686;14.49275362;261.5136876;2.898550725;161.0305958;666.0225443;59.58132045;52.17391304;807.4074074;8.373590982;2560.708535
27;2;3;mono;C;mono 3 C;21.61333333;26.5;12.66666667;576.1;103.6;10;240108_LM_GLS_colza_sample_27;25;119.5833333;114.1666667;8.333333333;77.91666667;1.25;57.08333333;537.9166667;31.25;31.66666667;412.0833333;7.5;1423.75
28;2;2;asso;A;asso 2 A;16.17;11.33333333;10.66666667;229.9;35.2;5;240108_LM_GLS_colza_sample_28;63.37817638;366.8161435;394.9177877;16.74140508;364.1255605;10.46337818;259.1928251;812.8550075;66.06875934;41.55455904;252.0179372;16.14349776;2664.275037
